"Adhabu_Punishment","multiple_choice","Mama alileta nini?"
"","","Matunda"
"","","Mboga mboga"
"","","Samaki"
"","","Miamba"
"","multiple_choice","Nani alikula Matunda"
"","","Rahim"
"","","Mama"
"","","Mbwa"
"","","Paka"
"","multiple_choice","Rahim alihisije Tumbo lake"
"","","Linauma"
"","","limejaa"
"","","Halina Kitu"
"","","Jepesi"
"","fill_in_the_blanks","Kaka yangu Rahim alijificha"
"","","alijificha"
"","","alikula"
"","","alilala"
"","","aliyaficha"
"","fill_in_the_blanks","Mama alikasirika sana"
"","","alikasirika"
"","","alifurahi"
"","","alilia"
"","","alilala"
"","fill_in_the_blanks","Rahimu alipata adhabu asiyoitarajia"
"","","Adhabu"
"","","Nguo"
"","","Matunda"
"","","Rafiki"
"","meanings","Tahadhari"
"","","Mjulishe mtu juu ya Hatari"
"","meanings","kiburi"
"","","Asiye na Adabu"
"","meanings","Tamaa"
"","","kuwa na Hamu kubwa"
"","meanings","Mbinafsi"
"","","Kutokutilia Maanani watu wengine"
"","meanings","Msamaha"
"","","Kujutia"
"","meanings","Ladha"
"","","kuhisi ladha mdomoni"
"","meanings","Adhabu"
"","","Kumpa Mtu Adhabu"
"","meanings","Hasira"
"","","kuhisi au kuonyesha kero kubwa, hasira, au uadui"
"","picture","sofa"
"","picture","epo"
"","picture","ndizi"
"","picture","meza"
"","picture","Ua"
"","picture","Embe"
"","picture","Meza"
"","picture","nyumba"
"","words","Paza"
"","words","Msamaha"
"","words","kuadhibu"
"","words","Tumbo"
"Adie_na_adhoch","multiple_choice","Yapi yalikua majina ya watoto wa kike?"
"","","Adie na Adhoch"
"","","Grace na Irene"
"","","Rehema na Farida"
"","","Mary na Sarah"
"","multiple_choice","Adie alienda kuchota maji wapi?"
"","","Ziwani"
"","","Bwawani"
"","","Mtoni"
"","","Baharini"
"","multiple_choice","Ni muda gani Adhoch alienda kumtafuta dada yake?"
"","","Jioni"
"","","Asubuh"
"","","Mchana"
"","","Usiku"
"","fill_in_the_blanks","Watoto hawa walipendana sana"
"","","walipenda"
"","","walichukiana"
"","","Walitukuzana"
"","","waliitana"
"","fill_in_the_blanks","Adie alikuwa mwenye bidii, mkarimu na mwenye nidhamu."
"","","Mkarimu"
"","","Mchafu"
"","","Mcheshi"
"","","Mvivu"
"","fill_in_the_blanks","Adhoch alisoma na kucheza na wenzake."
"","","Alisoma"
"","","Aliruka"
"","","Alicheka"
"","","Alilala"
"","meanings","Alikula"
"","","Kufa kwa kuzama kwenye Maji"
"","meanings","pokea"
"","","kupewa"
"","meanings","binti"
"","","Mtoto wa kike"
"","meanings","wivu"
"","","kuhisi au kumuonea wivu, chuki mtu"
"","meanings","Mwalimu"
"","","mtu anayefundisha"
"","meanings","mchoyo"
"","","kitu apewacho mtu kama zawadi"
"","meanings","Mkorofi"
"","","Fujo kwa Wengine"
"","meanings","Jibu"
"","","kusema kitu kulingana na kitu ulichoulizwa au ulichoambiwa"
"","words","maji"
"","words","mama"
"","words","binti"
"","words","hasira"
"Adun_the_beautiful","multiple_choice","Mamboleo alimpa nini kobe?"
"","","pembe"
"","","ngoma"
"","","gitaa"
"","","filimbi"
"","multiple_choice","Aduni aliweka nini kwenye pembe?"
"","","keki zilizolowa mafuta"
"","","ndizi"
"","","epo"
"","","viazi"
"","multiple_choice","Adun alifanya nini mwishowe?"
"","","alikimbia"
"","","alilala"
"","","alikaa chini"
"","","alifanya kazi"
"","fill_in_the_blanks","Adun alikua msichana mrembo sana"
"","","Mrembo"
"","","machafu"
"","","mbaya"
"","","mrefu"
"","fill_in_the_blanks","Mambolea alitoka mji wa mbali"
"","","mbali"
"","","karibu"
"","","kubwa"
"","","bize"
"","fill_in_the_blanks","Adun akijaribu kutoroka, nijulishe kwa kuipuliza pembe hii."
"","","Kutoroka"
"","","kulala"
"","","kusimama"
"","","kufanya kazi"
"","meanings","soko"
"","","sehemu watu wanapokutana kununua na kuuza vitu"
"","meanings","mrembo"
"","","kupendeza akili"
"","meanings","kutoroka"
"","","kuwa huru"
"","meanings","Mmiliki"
"","","mtu anayemiliki kitu"
"","meanings","kushauri"
"","","kutafuta maelezo au ushauri"
"","meanings","kuhofia"
"","","kuogopa, kutishika"
"","meanings","ladha"
"","","yenye kupendeza sana kuonja"
"","meanings","maelekezo"
"","","muongozo au oda"
"","picture","mwili"
"","picture","kichwa"
"","picture","mkono"
"","picture","mguu"
"","picture","keki"
"","picture","nyumba"
"","picture","kobe"
"","picture","pembe"
"","words","Kuoa"
"","words","azima"
"","words","asubuhi"
"","words","mwaguzi"
"Ah_Mpira_Ah_Football","multiple_choice","Bibi alinituma wapi?"
"","","dukani"
"","","shule"
"","","uanjani"
"","","mtoni"
"","multiple_choice","Ninapenda kucheza nini?"
"","","mpira"
"","","kukimbia"
"","","kuogelea"
"","","karata"
"","multiple_choice","Pesa zilikwenda wapi?"
"","","zilipotea"
"","","zilipatikana"
"","","zilikua salama"
"","","zilizama"
"","fill_in_the_blanks","ninapenda kucheza na rafiki yangu Chuma"
"","","kucheza"
"","","kusoma"
"","","kuandika"
"","","kutembea"
"","fill_in_the_blanks","uwanja tuliocheza ulikua na mchanga mwingi"
"","","mchanga"
"","","maji"
"","","Watoto hawa walipendana sana"
"","","ndege"
"","fill_in_the_blanks","msirudie tena kucheza bila ruhusa"
"","","ruhusa"
"","","kuruka"
"","","kusimama"
"","","kutembea"
"","meanings","Bibi alinituma wapi?"
"","","mama yake baba au mama"
"","meanings","mpira wa miguu"
"","","ni mchezo wa kupiga mpira kwa miguu"
"","meanings","chumvi"
"","","ni kitu cheupe chenye ladha chachu"
"","meanings","rafiki"
"","","mtu wa karibu"
"","meanings","samehe"
"","","kuacha kumkasirikia mtu fulani"
"","meanings","wasiwasi"
"","","kuhisi wasiwasi"
"","meanings","pesa"
"","","sarafu na noti"
"","meanings","ukweli"
"","","imani inayokubaliwa kuwa ni kweli"
"","picture","bata"
"","picture","duka"
"","picture","mpira"
"","picture","jiwe"
"","words","pamoja"
"","words","kudaka"
"","words","kupaza"
"","words","safi"
"Ajali_mbaya_Serious_accident","multiple_choice","dereva wa lori alikua anafanya nini"
"","","alikua akizungumza kwa simu ya rununu"
"","","alikua anakula chakula chake"
"","","alikua amelala"
"","","alikua anaandika"
"","multiple_choice","nini kilikua kinakuja kutoka upande wa juu wa barabara?"
"","","gari ndogo"
"","","farasi"
"","","kondoo"
"","","ng'ombe"
"","multiple_choice","nani alikuja kusaidia?"
"","","polisi"
"","","mwalimu"
"","","kinyozi"
"","","seremala"
"","fill_in_the_blanks","siku moja, mimi na dada yangu tulikua tukitembea kando ya barabara"
"","","dada"
"","","rafiki"
"","","mama"
"","","baba"
"","fill_in_the_blanks","lori liliigonga gar"
"","","lori"
"","","mwanaume"
"","","simba"
"","","boti"
"","fill_in_the_blanks","tulitishika sana"
"","","tulitishika"
"","","tulifurahi"
"","","tuliruka"
"","","tulicheka"
"","meanings","kia kitu"
"","","vitu vyote"
"","meanings","lori"
"","","gari kubwa, nzito la barabarani"
"","meanings","spidi"
"","","kupita haraka"
"","meanings","kugonga"
"","","ajali na kuharibika vibaya"
"","picture","gari"
"","picture","tairi"
"","picture","ambalanzi"
"","picture","lori"
"","words","kutembea"
"","words","kuangalia"
"","words","kuongea"
"","words","haraka"
"Akai_amefurahi_Happy_Akai","multiple_choice","Akai alitaka nini"
"","","Viatu"
"","","pipi"
"","","mkufu"
"","","nguo"
"","multiple_choice","Akai na Mama yake walienda wapi?"
"","","Sokoni"
"","","Mtoni"
"","","Shule"
"","","Hotelini"
"","multiple_choice","Akai alifanya nini  na Viatu?"
"","","Alicheza cheza chumbani"
"","","alikimbia kimbia chumbani"
"","","aliosha"
"","","alienda shule"
"","fill_in_the_blanks","Akai hakuna na viatu"
"","","viatu"
"","","nywele"
"","","mpira"
"","","nguo"
"","fill_in_the_blanks","usiku ule, Akai aliviwazia viatu vyake vipya"
"","","vipya"
"","","vichafu"
"","","vyekundu"
"","","vya zamani"
"","fill_in_the_blanks","Akai alifurah kupata viatu kwa mara ya kwanza"
"","","kwanza"
"","","pili"
"","","tatu"
"","","nne"
"","meanings","watoto"
"","","wingi wa mtoto"
"","meanings","asubuhi"
"","","muda jua lichomozapo"
"","meanings","mawazo"
"","","kuwa na mtazamo fulani"
"","meanings","ugumu"
"","","uhitaji wa nguvu nyingi na ujuzi kukamilisha"
"","words","nzuri"
"","words","bila"
"","words","kucheza"
"","words","usiku"
"Anansi_awapa_watu_hadithi_Anansi_gives_people_stor","multiple_choice","watu walimuomba nani msaada?"
"","","Buibui Anansi"
"","","Mungu wa mbinguni, Nyamae"
"","","Chui"
"","","Nyoka"
"","multiple_choice","Anansi alimkataje Leopard?"
"","","alichimba shimo refu"
"","","alimpiga"
"","","aliongea naye"
"","","alipaza sauti kwa nguvu"
"","multiple_choice","Hadithi zilihifadhiwa wapi?"
"","","kwenye sanduku la mbao"
"","","kwenye begi"
"","","kwenye shimo refu"
"","","kwenye lori la mbao"
"","fill_in_the_blanks","Alichukuwa kibuyu kilichojaa maji na kwenda kwenye mti walimoishi nyigu."
"","","maji"
"","","asali"
"","","sumu"
"","","hewa"
"","fill_in_the_blanks","Anansi alizibeba hadithi hizo kwa ushindi mkubwa hadi ardhini."
"","","ardhini"
"","","mbinguni"
"","","mtoni"
"","","baharini"
"","fill_in_the_blanks","Watu hapa duniani walihuzunika sana kwa kuwa hawakuhadithiana."
"","","walihuzunika"
"","","walifurahi"
"","","walirukaruka"
"","","walikua na wivu"
"","meanings","uzi"
"","","kitu kirefu. Chembamba kilichotengenezwa kwa pamba"
"","meanings","nyigu"
"","","mdudu mwenye kufanana na nyuki"
"","meanings","kumeza"
"","","kuruhusu kitu kupita kwenye koo"
"","meanings","Yenye Gharama"
"","","yenye kugharimu pesa nyingi"
"","meanings","chakula cha jioni"
"","","chakula cha jioni"
"","meanings","kiumbe"
"","","mnyama"
"","meanings","hoja"
"","","mawazo mbadala"
"","meanings","mfereji"
"","","mtoto mdogo au mto mwembamba"
"","picture","pembe"
"","picture","buibui"
"","picture","chui"
"","picture","nyoka"
"","picture","boksi"
"","picture","sufuria"
"","picture","jani"
"","picture","fimbo"
"","words","mwenye"
"","words","kamba"
"","words","makali"
"","words","ndizi"
"Anansi_Kunguru_na_Mamba_Anansi_the_crows","multiple_choice","kunguru walipata nini kila siku?"
"","","matunda matamu"
"","","maepo"
"","","machungwa"
"","","mawe"
"","multiple_choice","buibui Anansi aliangukia wapi?"
"","","mtoni"
"","","kwenye boti"
"","","kwenye gari"
"","","kwenye boksi"
"","multiple_choice","Mamba walimpa Anansi ale nini?"
"","","supu ya matope"
"","","matunda"
"","","machungwa"
"","","maepo"
"","fill_in_the_blanks","Alipoyaona matunda hayo, Buibui Anansi alidondokwa na mate."
"","","mate"
"","","macho"
"","","miguu"
"","","masikio"
"","fill_in_the_blanks","Akaanguka ndani ya mto baina ya mamba hatari"
"","","Mamba "
